depmap_id,cell_line_name,primary_disease,lineage,lineage_subtype,lineage_sub_subtype
ACH-000070,697,Leukemia,blood,ALL,b_cell
ACH-000105,ALL-SIL,Leukemia,blood,ALL,t_cell
ACH-000557,AML-193,Leukemia,blood,AML,M5
ACH-000080,BDCM,Leukemia,blood,AML,M5
ACH-000432,BV-173,Leukemia,blood,CML,blast_crisis
ACH-000641,CMK,Leukemia,blood,AML,M7
ACH-000920,CML-T1,Leukemia,blood,CML,blast_crisis
ACH-000981,DND-41,Leukemia,blood,ALL,t_cell
ACH-000295,EM-2,Leukemia,blood,CML,blast_crisis
ACH-000198,EOL-1,Leukemia,blood,AML,M5
ACH-000487,F-36P,Leukemia,blood,AML,M6
ACH-000081,GDM-1,Leukemia,blood,AML,NA
ACH-000004,HEL,Leukemia,blood,AML,M6
ACH-000005,HEL 92.1.7,Leukemia,blood,AML,M6
ACH-000002,HL-60,Leukemia,blood,AML,M3
ACH-000942,HPB-ALL,Leukemia,blood,ALL,t_cell
ACH-000241,JK-1,Leukemia,blood,CML,blast_crisis
ACH-000151,JM1,Leukemia,blood,ALL,b_cell
ACH-000995,JURKAT,Leukemia,blood,ALL,t_cell
ACH-000326,JURL-MK1,Leukemia,blood,CML,blast_crisis
ACH-000346,JVM-3,Leukemia,blood,CLL,b_cell
ACH-000551,K-562,Leukemia,blood,CML,blast_crisis
ACH-000263,KASUMI-1,Leukemia,blood,AML,M2
ACH-000728,KASUMI-2,Leukemia,blood,ALL,b_cell
ACH-000983,KCL-22,Leukemia,blood,CML,blast_crisis
ACH-000101,KE-37,Leukemia,blood,ALL,t_cell
ACH-000498,KO52,Leukemia,blood,AML,M2
ACH-000074,KU812,Leukemia,blood,CML,blast_crisis
ACH-000604,KYO-1,Leukemia,blood,CML,blast_crisis
ACH-000301,LAMA-84,Leukemia,blood,CML,blast_crisis
ACH-000602,M-07e,Leukemia,blood,AML,M7
ACH-000439,ME-1,Leukemia,blood,AML,M4
ACH-000405,MEC-1,Leukemia,blood,CLL,b_cell
ACH-000032,MHH-CALL-3,Leukemia,blood,ALL,b_cell
ACH-000156,MHH-CALL-4,Leukemia,blood,ALL,b_cell
ACH-000362,MOLM-13,Leukemia,blood,AML,NA
ACH-000369,MOLM-16,Leukemia,blood,AML,NA
ACH-000321,MOLM-6,Leukemia,blood,CML,blast_crisis
ACH-000918,MOLT-16,Leukemia,blood,ALL,t_cell
ACH-001129,MONO-MAC-1,Leukemia,blood,AML,NA
ACH-000006,MONO-MAC-6,Leukemia,blood,AML,M5
ACH-000045,MV4;11,Leukemia,blood,AML,NA
ACH-000938,"NALM-6",Leukemia,blood,ALL,b_cell
ACH-000294,NB-4,Leukemia,blood,AML,M3
ACH-000076,NCO2,Leukemia,blood,CML,NA
ACH-000168,NOMO-1,Leukemia,blood,AML,M5
ACH-000113,OCI-AML2,Leukemia,blood,AML,M4
ACH-000336,OCI-AML3,Leukemia,blood,AML,M4
ACH-000065,OCI-AML5,Leukemia,blood,AML,NA
ACH-000751,OCI-M1,Leukemia,blood,AML,M6
ACH-000372,P12-ICHIKAWA,Leukemia,blood,ALL,t_cell
ACH-000770,P31/FUJ,Leukemia,blood,AML,M5
ACH-000519,PEER,Leukemia,blood,ALL,t_cell
ACH-000937,PF-382,Leukemia,blood,ALL,t_cell
ACH-000218,PL-21,Leukemia,blood,AML,M3
ACH-000922,RCH-ACV,Leukemia,blood,ALL,b_cell
ACH-000960,Reh,Leukemia,blood,ALL,b_cell
ACH-000636,RPMI-8402,Leukemia,blood,ALL,t_cell
ACH-000874,RS4;11,Leukemia,blood,ALL,b_cell
ACH-000782,SEM,Leukemia,blood,ALL,b_cell
ACH-000195,Set-2,Leukemia,blood,AML,NA
ACH-000112,SIG-M5,Leukemia,blood,AML,M5
ACH-000373,SKM-1,Leukemia,blood,AML,NA
ACH-000059,SUP-B15,Leukemia,blood,ALL,b_cell
ACH-000953,SUP-T1,Leukemia,blood,ALL,t_cell
ACH-000122,SUP-T11,Leukemia,blood,ALL,t_cell
ACH-000197,TALL-1,Leukemia,blood,ALL,t_cell
ACH-000387,TF-1,Leukemia,blood,AML,NA
ACH-000146,THP-1,Leukemia,blood,AML,M5
ACH-000406,U-937,Leukemia,blood,AML,NA
